id_1,id_2,score
4071,6273,0.1183761903958187
1239,5777,0.2605028460615399
4226,4689,0.2046624674124506
1801,2253,0.1133574905832577
3468,3482,0.2189173246054665
5777,6434,0.2584359533532907
196,4440,0.2798509772506438
5441,5578,0.2233145007012601
1428,3290,0.0550958688221208
4071,6202,0.144323989705307
1159,3826,0.2340039446853815
276,3088,0.3823919170470001
1136,2390,0.41812233463185
3587,6793,0.2966736001097678
254,1645,0.2720096485499126
1916,3572,0.2085527509767269
4675,6319,0.1862466480381451
3074,4920,0.2647988854240433
5558,6663,0.1613670933490578
361,4262,0.2161334330032539
61,103,0.3035663122208421
113,2188,0.0718081707746643
158,4590,0.1402302696894436
2382,4935,0.1843279447730677
1217,5244,0.20583809728838
3888,6310,0.1134350143257384
3052,4921,0.1734493523917708
507,5816,0.1999703734964016
2545,4472,0.1246122732322895
770,6297,0.1937938907753356
294,531,0.1276850879341075
316,6733,0.142903185254121
2065,3118,0.2014953492754101
1142,6933,0.2532551640620526
2057,2789,0.2910143245455384
2199,3442,0.1908109073729047
1263,4005,0.2306876200567093
238,2372,0.2711883855410376
1602,5156,0.3305943213157775
2310,2315,0.3354647315003365
4076,5729,0.107409886871999
841,2945,0.2393476799817418
6097,7035,0.2968556265110829
1768,2839,0.0933643359799547
872,876,0.2722996835225442
255,1554,0.1682383323786019
2198,4329,0.0841172445624533
1773,4780,0.2238631177569046
268,1028,0.1852508177244659
2198,5152,0.1661828016786087
1136,4071,0.2510534920059312
5161,6814,0.2350375664568264
158,1801,0.0772074365941906
3073,6787,0.0676471368071636
4123,4287,0.1598037721003991
1226,6415,0.1875243725631567
2199,5131,0.1529329980226
5997,7065,0.1064572750990992
4841,6908,0.3191638642388789
649,2980,0.1142749502852402
120,1669,0.2333873972316116
1263,4184,0.1332729518692
2320,6015,0.1563661048108621
1535,3281,0.3376015536653918
781,2188,0.1772777820900417
3731,3734,0.3626208187494517
3118,4488,0.2118155223211828
5899,6979,0.2279607685357155
5593,6351,0.26096122737178
5476,5484,0.1765049812111354
3417,6644,0.1523825040757939
88,105,0.2637596603802552
1438,5035,0.2697382170929533
4999,5582,0.22890105541395
2372,4700,0.2389008575060385
1595,1711,0.2563769929083572
2811,2846,0.8520682619450785
316,920,0.1670552400787666
300,4360,0.3360678378800945
1554,2954,0.1940342155480089
5759,6919,0.2236707463538536
841,2198,0.2617949543603346
948,3119,0.1357798062320721
4903,5103,0.2700351104655745
1325,1721,0.3202125732264224
86,1368,0.4031405358584605
300,2142,0.2933242634297859
322,3082,0.2966291663654209
791,1892,0.189378873604097
2393,6779,0.2343923304535321
2942,3752,0.2217687391691265
4745,5727,0.2349486007338865
1897,6263,0.3035951421227556
4460,5431,0.1964991824705468
4116,7067,0.2671910905954024
1741,5905,0.1986522017235615
4204,6659,0.0590332414578225
3734,5057,0.2229827934610308
1161,4625,0.2277348600006016
3170,3785,0.4114907894919399
423,5026,0.1748745731234939
1610,5317,0.164292504325844
3847,3853,0.2709848543859567
937,4438,0.2763667701059791
1724,1864,0.2448967736541815
1750,4227,0.2625973571134044
1444,6611,0.2640658630023703
2065,4999,0.2399963635131687
582,4478,0.0856867179018988
889,5292,0.3228223418571628
2839,3840,0.2454494678812522
4638,5079,0.306273846227069
6322,6887,0.2845567872316031
3903,5809,0.2264305583835123
1682,3773,0.0091543279439202
1122,7052,0.2918533024728026
302,5970,0.1443961506826822
1071,1892,0.2730575598375591
103,6104,0.2474630436034471
1005,3717,0.2730876061535891
300,2372,0.2704559137598013
2497,3035,0.0989062865267026
2846,6331,0.2693674828969793
3891,4935,0.2226331936651408
269,5652,0.2080881266432928
4806,5846,0.3557123041442265
139,2056,0.397825758934363
1168,5803,0.1499300227427498
886,1331,0.1979337336201756
174,6988,0.3750352029523121
3840,6864,0.1905293120716464
3376,6486,0.4063986141713499
3541,4972,0.2206654301384568
292,3734,0.2320691095934607
4472,4762,0.1167792910727579
1811,2198,0.1122586170293499
1681,4090,0.1520526579628286
4841,5763,0.2195538162397744
993,5579,0.434163949386493
582,6450,0.1889856500477386
158,3596,0.0728216691080962
331,2152,0.1290201488054329
2859,6830,0.182595228777876
3743,6833,0.0702741381830919
661,2196,0.1429006440903871
520,6711,0.0261191407366415
902,3189,0.2959727705386568
2031,5620,0.4634772851462983
4998,7067,0.1380533469377809
254,3178,0.183997757754873
302,1453,0.2497610839638697
1040,5582,0.1703694096513859
1188,6787,0.014646514662601
3988,5750,0.2834640197659885
61,1011,0.2218712281933554
2175,4205,0.2230277179848889
1146,7013,0.1775702447750348
5759,6081,0.0939225643216131
114,3717,0.1426080217098976
1801,5759,0.1247973267183773
2135,3654,0.1803054617841329
3959,4445,0.2056943139529787
114,6644,0.0276209081405799
3864,5318,0.2222882307791396
2372,4324,0.2053225601872478
1806,5676,0.196791200708053
1615,7077,0.1919000243241238
1239,3826,0.2826001766933355
1528,3074,0.2240453389764332
2184,5816,0.2640871709433666
165,2779,0.2515566602468301
233,4699,0.2825082853458196
2362,5578,0.1576836456228736
719,5454,0.1234329252071021
4445,6204,0.2129256948210236
920,1773,0.2292191733549173
3596,4920,0.131977335446418
4068,4076,0.1099053451696061
3069,4782,0.3093057785501147
5578,6814,0.1828791335874702
3801,6266,0.187283096323058
5759,5887,0.0956324267292537
1795,4264,0.4308437305896205
1028,5266,0.2299037609396662
948,4626,0.2140430217302764
1193,5495,0.1482220776439816
231,5348,0.1544880954978037
3826,5925,0.2608913319834497
991,2847,0.1972004947344866
5750,6785,0.2472967119425193
294,6917,0.2704420666045004
1363,5788,0.1227118287404833
336,5579,0.394868519671356
2253,4456,0.1887342074658149
2065,6970,0.2826869283343064
54,1613,0.2552522567067879
182,4645,0.3276354052595436
551,2920,0.2596026416413181
499,4545,0.1645358244150201
5448,6385,0.477319202079042
5603,5803,0.2939736491706603
941,1005,0.0380222287886474
5479,6331,0.3739936713716295
5040,5211,0.2896249843930196
3605,6970,0.1728962485348528
3717,5662,0.2531013372460653
2385,4952,0.2210527287050294
4115,5997,0.1474631955983007
1153,3526,0.0730882076625612
70,6787,0.0650557317181723
2899,5759,0.2365913040960143
4972,7043,0.2581878582456872
2135,2170,0.1932769690729397
202,1158,0.1207087296543558
5303,6110,0.2785023912738115
2900,3848,0.206992618937382
1136,3132,0.4096049068598325
867,2271,0.1953989420921147
1159,3717,0.076170178891317
3290,6221,0.2461916646112653
1263,3685,0.117945754965274
